個体名,性別,生年月日,父親,母親,アイコン,現在地,行番号
マックス,オス,,,,,東山動植物園,1
ティリー,メス,2009/12/15-2024/12/25,,,https://dj-kata.github.io/koala_familytree/imgs/tilly.png,東山動植物園,1
イシン,オス,2017/5/14,ブンダ,ユメ,https://dj-kata.github.io/koala_familytree/imgs/ishin.png,東山動植物園,1
タイチ,オス,2012/5/3-2022/9/29,ティムタム,ライチ,,平川動物公園,2
ホリー,メス,2013/12/25,,,https://dj-kata.github.io/koala_familytree/imgs/holly.png,東山動植物園,2
りん,メス,2017/8/23,マックス,ティリー,https://dj-kata.github.io/koala_familytree/imgs/rin.png,東山動植物園,2
ライト,オス,2021/5/14,,,https://dj-kata.github.io/koala_familytree/imgs/raito.png,平川動物公園,4
つくし,メス,2020/9/3,イシン,りん,https://dj-kata.github.io/koala_familytree/imgs/tukusi.png,平川動物公園,4
アーチャー,オス,2019/4/26,,,https://dj-kata.github.io/koala_familytree/imgs/archer.png,平川動物公園,4
インディコ,メス,2019/12/22,イシン,ティリー,https://dj-kata.github.io/koala_familytree/imgs/indeko.png,平川動物公園,4
ししお,オス,2022/4/4,タイチ,ホリー,https://dj-kata.github.io/koala_familytree/imgs/sisio.png,平川動物公園,4
スミレ,メス,2024/9/11,ライト,つくし,https://dj-kata.github.io/koala_familytree/imgs/sumire.png,平川動物公園,6
スター,オス,2023/11/18,アーチャー,インディコ,https://dj-kata.github.io/koala_familytree/imgs/star.png,平川動物公園,6
タイヨウ,オス,2022/8/11,タイチ,インディコ,https://dj-kata.github.io/koala_familytree/imgs/taiyou.png,平川動物公園,6
インディコ仔,メス,2025/5/15,ししお,インディコ,,平川動物公園,6
